domain,master_var_name,concept,Sign Up Survey,2023 Survey,2025 Survey,Sign Up Survey Coding Type,2023 Survey Coding Type,2025 Survey Coding Type,Column Harmonisation,Master Dataframe Coding Type,notes
Other,puprn,unique respondent identifier,PUPRN,PUPRN,puprn,identifier,identifier,identifier,,,Primary key
Other,survey,survey information,,,,,,,,,
Other,completed_survey,households that completed the survey,,,,,,,,,
Other,date_completed,Date that survey has been completed - datetime format,,,,,,,,,
Other,date_completed_string,Date that survey has been  - text format,,,,,,,,,
Other,wave,wave information,,,,,,,,,
Other,smart_meter_own,knowledge of having smart meter,A1,,,1,,,,,
Behaviour,el_gas_use_beh,electricity or gas use behaviour,A2,,,2,,,,,
Energy,heating_type_none,no central heating,A301,B2_1_yes,Q15_1,3,A,26,Yes,1.0,Survey2025: What's the difference between the Q15 questions and the Q15B?
Energy,heating_gas,gas heating present,A302,B2_2_yes,Q15_2,3,A,26,Yes,1.0,
Energy,heating_el_storage,electric storage heaters present,A303,B2_3_yes,Q15_3,3,A,26,Yes,1.0,
Energy,heating_el_radiators,electric radiators present,A304,B2_4_yes,Q15_4,3,A,26,Yes,1.0,
Energy,heating_other_elec,other electric heating present,A305,B2_6_yes,Q15_6,3,A,26,Yes,1.0,
Energy,heating_oil,oil heating present,A306,B2_7_yes,Q15_7,3,A,26,Yes,1.0,
Energy,heating_soild_fuel,solid fuel present,A307,B2_8_yes,Q15_8,3,A,26,Yes,1.0,
Energy,heating_biomass,biomass present,A308,B2_9_yes,Q15_9,3,A,26,Yes,1.0,
Energy,heating_district,district or community present,A309,B2_10_yes,Q15_10,3,A,26,Yes,1.0,
Energy,heating_other,other heating present,A310,B2_11_yes,Q15_11,3,A,26,Yes,1.0,
Energy,heating_timer,central heating controls-timer,A401,,,4,,,,,
Energy,heating_temp_set,central heating controls-temperature setting,A402,,,4,,,,,
Energy,heating_smart_dev,central heating controls-smart device,A403,,,4,,,,,
Energy,heating_manually,central heating controls-manually,A404,,,4,,,,,
Energy,heating_no_controls,central heating controls-none of the above,A405,,,4,,,,,
Energy,heating_control_?,central heating controls-don't know,A406,,,4,,,,,
Energy,thermostat_C,temperature controller set at for late afternoons and evenings_Degrees C,A5_degC,A1_corr_C,Q23AR1 / Q23AR2,temperature,temperature,,,,Kept the corrected degrees C values. 
Appliances,standalone_heater,use of standalone heaters,A6,A8,Q23B,5,A,26,Yes,1.0,
Appliances,stand_heater_own_power,any of your standalone heaters have their own source of power,A7,A9,Q23C,6,U,40,Yes,3.0,
Appliances,stand_heater_use,"In very cold winter weather, how often are these standalone heaters typically used?",A8,A10,,7,V,,Yes,4.0,Assumed that they are using the standalone heaters instead of heating.
Behaviour,heat_adjust_cold,Do you adjust your heating - When especially cold,A901,,,3,,,,,
Behaviour,heat_adjust_baby,"Do you adjust your heating - Because of children, infants, babies",A902,,,3,,,,,
Behaviour,heat_adjust_visitors,Do you adjust your heating - Visitors,A903,,,3,,,,,
Behaviour,heat_adjust_pets,Do you adjust your heating - Pets,A904,,,3,,,,,
Behaviour,heat_adjust_stress,Do you adjust your heating - Stress,A905,,,3,,,,,
Behaviour,heat_adjust_WFH,Do you adjust your heating - Working from home,A906,,,3,,,,,
Behaviour,heat_adjust_none,Do you adjust your heating - none of these,A907,,,3,,,,,
Behaviour,heat_adjust_unocc,how do you adjust heating controls when house is unoccupied,A10,A7,,8,B,,Yes,5.0,
Behaviour,unheated_spaces,"During the winter, are there living spaces not normally heated?",A11,A2,Q25,1,A,26,Yes,6.0,
Water,tap_gas,Tap water heated (Gas Boiler),A12_Taps_GB,,,3,,,,,
Water,tap_electric,Tap water heated (Electric Heater),A12_Taps_EH,,,3,,,,,
Water,tap_solar,Tap water heated (Solar Water Heater),A12_Taps_SWH,,,3,,,,,
Water,tap_other,Tap water heated (Other),A12_Taps_Other,,,3,,,,,
