Variable,Value,ValueDescription,QuestionOrMeaning,FreeText,Type
PUPRN,,,Pseudonymised participant identifier,FALSE,Assigned
Q1,,,How many people live in household?,TRUE,Primary
Q1R1,,,How many people are there in 0-15 age group in your household?,TRUE,Primary
Q1R1C1,-9,Not applicable,Males in household (0-15),TRUE,Primary
Q1R1C1,-3,Prefer not to say,Males in household (0-15),TRUE,Primary
Q1R1C1,-2,No answer,Males in household (0-15),TRUE,Primary
Q1R1C1,-1,Don't know,Males in household (0-15),TRUE,Primary
Q1R1C2,-9,Not applicable,Females in household (0-15),TRUE,Primary
Q1R1C2,-3,Prefer not to say,Females in household (0-15),TRUE,Primary
Q1R1C2,-2,No answer,Females in household (0-15),TRUE,Primary
Q1R1C2,-1,Don't know,Females in household (0-15),TRUE,Primary
Q1R2,,,How many people are there in 16-24 age group in your household?,TRUE,Primary
Q1R2C1,-9,Not applicable,Males in household (16-24),TRUE,Primary
Q1R2C1,-3,Prefer not to say,Males in household (16-24),TRUE,Primary
Q1R2C1,-2,No answer,Males in household (16-24),TRUE,Primary
Q1R2C1,-1,Don't know,Males in household (16-24),TRUE,Primary
Q1R2C2,-9,Not applicable,Females in household (16-24),TRUE,Primary
Q1R2C2,-3,Prefer not to say,Females in household (16-24),TRUE,Primary
Q1R2C2,-2,No answer,Females in household (16-24),TRUE,Primary
Q1R2C2,-1,Don't know,Females in household (16-24),TRUE,Primary
Q1R3,,,How many people are there in 24-44 age group in your household?,TRUE,Primary
Q1R3C1,-9,Not applicable,Males in household (25-44),TRUE,Primary
Q1R3C1,-3,Prefer not to say,Males in household (25-44),TRUE,Primary
Q1R3C1,-2,No answer,Males in household (25-44),TRUE,Primary
Q1R3C1,-1,Don't know,Males in household (25-44),TRUE,Primary
Q1R3C2,-9,Not applicable,Females in household (25-44),TRUE,Primary
Q1R3C2,-3,Prefer not to say,Females in household (25-44),TRUE,Primary
Q1R3C2,-2,No answer,Females in household (25-44),TRUE,Primary
Q1R3C2,-1,Don't know,Females in household (25-44),TRUE,Primary
Q1R4,,,How many people are there in 45-64 age group in your household?,TRUE,Primary
Q1R4C1,-9,Not applicable,Males in household (45-64),TRUE,Primary
Q1R4C1,-3,Prefer not to say,Males in household (45-64),TRUE,Primary
Q1R4C1,-2,No answer,Males in household (45-64),TRUE,Primary
Q1R4C1,-1,Don't know,Males in household (45-64),TRUE,Primary
Q1R4C2,-9,Not applicable,Females in household (45-64),TRUE,Primary
Q1R4C2,-3,Prefer not to say,Females in household (45-64),TRUE,Primary
Q1R4C2,-2,No answer,Females in household (45-64),TRUE,Primary
Q1R4C2,-1,Don't know,Females in household (45-64),TRUE,Primary
Q1R5,,,How many people are there in 65-74 age group in your household?,TRUE,Primary
Q1R5C1,-9,Not applicable,Males in household (65-74),TRUE,Primary
Q1R5C1,-3,Prefer not to say,Males in household (65-74),TRUE,Primary
Q1R5C1,-2,No answer,Males in household (65-74),TRUE,Primary
Q1R5C1,-1,Don't know,Males in household (65-74),TRUE,Primary
Q1R5C2,-9,Not applicable,Females in household (65-74),TRUE,Primary
Q1R5C2,-3,Prefer not to say,Females in household (65-74),TRUE,Primary
Q1R5C2,-2,No answer,Females in household (65-74),TRUE,Primary
Q1R5C2,-1,Don't know,Females in household (65-74),TRUE,Primary
Q1R6,,,How many people are there in 75-85 age group in your household?,TRUE,Primary
Q1R6C1,-9,Not applicable,Males in household (75-84),TRUE,Primary
Q1R6C1,-3,Prefer not to say,Males in household (75-84),TRUE,Primary
Q1R6C1,-2,No answer,Males in household (75-84),TRUE,Primary
Q1R6C1,-1,Don't know,Males in household (75-84),TRUE,Primary
