Variable,Value,ValueDescription,QuestionOrMeaning,FreeText,Type
PUPRN,,,Pseudonymised par ticipant identifier,FALSE,Assigned
A1_units,g to numeric Celsius; Fahr enheit; Don't know/can't do this,,Units correspond in answer,FALSE,Primary
A1_degC,Celsius box Numeric,,Numeric answer in,FALSE,Primary
A1_degF,Fahrenheit Numeric,,Numeric answer in box,FALSE,Primary
A1_corr_C,ed Celsius Numeric,,Converted / corr ect t emperature,FALSE,Primary
A1_edit,TRUE/FALSE,,,FALSE,Derived
A1_err,TRUE/FALSE,,,FALSE,Derived
A2,are there any Yes; No; No response,,"During this winte r, living spaces (e. g., bedrooms, living / dining ro om s, kitchens) in your accommo da tion that your household does not normally heat?",FALSE,Primary
A3,have you Yes; No; No response,,"During this winte r, reduced the flow te mperature of your boiler?",FALSE,Primary
A4,are you Yes; No; No response,,"During this winte r, heating your hou se for fewer hours than in pre vi ous winters?",FALSE,Primary
A5_1,"rooms that Always; Very often; Quite often; Not very d often; Never ; Not applicable, cannot do this",,Switch off lights in aren't being use,FALSE,Primary
A5_2,"feeling Always; Very often; Quite often; Not ver y he often; N ever; Not ap plicab le, can not do this",,Put more clothes on when cold rath e r than putting t heating o n or turning it u p,FALSE,Primary
A5_3,"at or Always; Very often; Quite often; Not ver y n you often; N ever; Not ap plicab le, can not do this",,Turn dow n your thermost turn off y our heating whe leave th e house,FALSE,Primary
A5_4,"ather Always; Very often; Quite often; Not ver y on or often; N ever; Not ap plicab le, can not do this",,Use a st a ndalone heater r than put ti ng the heating turning i t up,FALSE,Primary
A5_5,"ot Always; Very often; Quite often; Not ver y en often; N ever; Not ap plicab le, can not do this",,"Use an e l ectric blanket, h water bo t tle or similar wh feeling c o ld rather than p utting the heat in g on or turning it up",FALSE,Primary
A5_6,"n rooms Always; Very often; Quite often; Not ver y use often; N ever; Not ap plicab le, can not do this",,Turn dow n radiators whe are not i n,FALSE,Primary
A5_7,"oms Always; Very often; Quite often; Not ver y use often; N ever; Not ap plicab le, can not do this",,Turn dow n radiators in ro that are in,FALSE,Primary
A5_8,"with a Always; Very often; Quite often; Not ver y ng it often; N ever; Not ap plicab le, can not do this",,Run the w ashing machine full load r ather than runni part full,FALSE,Primary
A5_9,"at 30 Always; Very often; Quite often; Not ver y r lower often; N ever; Not ap plicab le, can not do this",,Run the w ashing machine degrees o,FALSE,Primary
A5_10,"a Always; Very often; Quite often; Not ver y yer often; N ever; Not ap plicab le, can not do this",,Dry cloth e s without using tumble d r,FALSE,Primary
A5_11,"by when Always; Very often; Quite often; Not ver y ot in use often; N ever; Not ap plicab le, can not do this",,Turn app li ances off stand they are n,FALSE,Primary
A5_12,"night Always; Very often; Quite often; Not ver y often; N ever; Not ap plicab le, can not do this",,Close cu rt ains / blinds at,FALSE,Primary
A5_13,"n Always; Very often; Quite often; Not ver y bath often; N ever; Not ap plicab le, can not do this",,Take a s h ower rather tha having a,FALSE,Primary
A5_14,"r than Always; Very often; Quite often; Not ver y owers often; N ever; Not ap plicab le, can not do this",,Take sho r t showers rathe longer s h,FALSE,Primary
A5_15,"r than Always; Very often; Quite often; Not ver y p often; N ever; Not ap plicab le, can not do this",,Use the di shwasher rathe washing u,FALSE,Primary
A5_16,"oven Always; Very often; Quite often; Not ver y eal often; N ever; Not ap plicab le, can not do this",,Avoid us in g the cooker or when pr e paring a main m,FALSE,Primary
A6_1,"A lot more; A little more; About the same; A little less; A lo t less ; Not applicable, cannot do",,Switched off ligh ts in room s that aren't being use d this,FALSE,Primary
A6_2,"A lot more; A little more; About the same; A little less; A lo t less ; Not applicable, cannot do",,Put more clothes on when feeling cold rather than putting th e heating on or tur ning it up this,FALSE,Primary
A6_3,"A lot more; A little more; About the same; A little less; A lo t less ; Not applicable, cannot do",,Turned down yo ur thermo stat or turn off your hea ting when you leave the house this,FALSE,Primary
A6_4,"A lot more; A little more; About the same; A little less; A lo t less ; Not applicable, cannot do",,Used a standalon e heater rather than putting the heating o n or turning it up this,FALSE,Primary
A6_5,"A lot more; A little more; About the same; A little less; A lo t less ; Not applicable, cannot do",,"Used an electric blanket, h ot water bottle or s imilar wh en feeling cold rath er than pu tting this the heating on o r turning i t up",FALSE,Primary
A6_6,"A lot more; A little more; About the same; A little less; A lo t less ; Not applicable, cannot do",,Turned down rad iators wh en rooms are not in use this,FALSE,Primary
A6_7,"A lot more; A little more; About the same; A little less; A lo t less ; Not applicable, cannot do",,Turned down rad iators in rooms that are in use this,FALSE,Primary
A6_8,"A lot more; A little more; About the same; A little less; A lo t less ; Not applicable, cannot do",,Ran the washing machine with a full load rather t han runni ng it part full this,FALSE,Primary
A6_9,"A lot more; A little more; About the same; A little less; A lo t less ; Not applicable, cannot do",,Ran the washing machine at 30 degrees or lower this,FALSE,Primary
A6_10,"A lot more; A little more; About the same; A little less; A lo t less ; Not applicable, cannot do",,Dried clothes wit hout usin g a tumble dryer this,FALSE,Primary
