Variable,QuestionText,ResponseValue,ResponseDescription
Q1,"During the lockdown period, how often, if at all, have you or anyone in your household looked at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display:",1,Most days
Q1,"During the lockdown period, how often, if at all, have you or anyone in your household looked at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display:",2,About once or twice per week
Q1,"During the lockdown period, how often, if at all, have you or anyone in your household looked at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display:",3,About once or twice per month
Q1,"During the lockdown period, how often, if at all, have you or anyone in your household looked at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display:",4,Less often than once per month
Q1,"During the lockdown period, how often, if at all, have you or anyone in your household looked at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display:",5,Never
Q1,"During the lockdown period, how often, if at all, have you or anyone in your household looked at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display:",6,I don’t have this
Q1,"During the lockdown period, how often, if at all, have you or anyone in your household looked at information about how much energy you are using (or your credit balance) through your smart meter In-Home Display/Smart Energy Display:",7,Don’t know
Q2,"Compared to normal times before lockdown, have you used your smart meter In-Home Display/Smart Energy Display:",1,More often
Q2,"Compared to normal times before lockdown, have you used your smart meter In-Home Display/Smart Energy Display:",2,Less often
Q2,"Compared to normal times before lockdown, have you used your smart meter In-Home Display/Smart Energy Display:",3,About the same
Q2,"Compared to normal times before lockdown, have you used your smart meter In-Home Display/Smart Energy Display:",4,I don't have this
Q2,"Compared to normal times before lockdown, have you used your smart meter In-Home Display/Smart Energy Display:",5,Don't know
Q3,Have you switched energy tariff or energy supplier during the lockdown period?,1,Yes
Q3,Have you switched energy tariff or energy supplier during the lockdown period?,2,No
Q3a_1,"Which of these was your main motivation for switching tariff?

Please tick all that apply. Saving money/paying less than before",1,Saving money/paying less than before
Q3a_2,"Which of these was your main motivation for switching tariff?

Please tick all that apply. Avoiding price rise",1,Avoiding price rise
Q3a_3,"Which of these was your main motivation for switching tariff?

Please tick all that apply. Get better customer service",1,Get better customer service
Q3a_4,"Which of these was your main motivation for switching tariff?

Please tick all that apply. Wanted a 'greener' tariff",1,Wanted a 'greener' tariff
Q3a_5,"Which of these was your main motivation for switching tariff?

Please tick all that apply. Previous tariff ended",1,Previous tariff ended
Q3a_6,"Which of these was your main motivation for switching tariff?

Please tick all that apply. Other",1,Other
Q3a_7,"Which of these was your main motivation for switching tariff?

Please tick all that apply. Don’t know/prefer not to say",1,Don’t know/prefer not to say
Q4_1,"Does your household have access to any of the following where you live?

Please tick all that apply. A private garden",1,A private garden
Q4_2,"Does your household have access to any of the following where you live?

Please tick all that apply. A shared garden",1,A shared garden
Q4_3,"Does your household have access to any of the following where you live?

Please tick all that apply. A private balcony, private small patio, or private roof terrace",1,"A private balcony, private small patio, or private roof terrace"
Q4_4,"Does your household have access to any of the following where you live?

Please tick all that apply. A shared roof terrace",1,A shared roof terrace
Q4_5,"Does your household have access to any of the following where you live?

Please tick all that apply. A park, wood, or other green space your household can still access within easy walking distance of your home",1,"A park, wood, or other green space your household can still access within easy walking distance of your home"
Q4_6,"Does your household have access to any of the following where you live?

Please tick all that apply. None of the above",1,None of the above
Q5,"Thinking about the lockdown period, how much effort, if any, would you say your household made to limit or reduce the amount of gas or electricity used?",1,A great deal of effort
Q5,"Thinking about the lockdown period, how much effort, if any, would you say your household made to limit or reduce the amount of gas or electricity used?",2,Some effort
Q5,"Thinking about the lockdown period, how much effort, if any, would you say your household made to limit or reduce the amount of gas or electricity used?",3,A little effort
Q5,"Thinking about the lockdown period, how much effort, if any, would you say your household made to limit or reduce the amount of gas or electricity used?",4,No effort at all
Q5,"Thinking about the lockdown period, how much effort, if any, would you say your household made to limit or reduce the amount of gas or electricity used?",5,Don’t know
Q6_1,"Thinking about the lockdown period, how often did your household open the windows in your home on the following types of days? - On a cold day during lockdown",7,Always
Q6_1,"Thinking about the lockdown period, how often did your household open the windows in your home on the following types of days? - On a cold day during lockdown",14,Very often
Q6_1,"Thinking about the lockdown period, how often did your household open the windows in your home on the following types of days? - On a cold day during lockdown",15,Quite often
